10.5,0,0,0,0,4,0,0,0
10.5,0,4,0,0,4,10.5,0,0
10.5,7.9,0,10.5,0,4,10.5,7.9,4
10.5,7.9,0,10.5,0,0,10.5,0,4
0,7.9,0,0,0,4,0,7.9,4
0,7.9,0,0,0,0,0,0,4
0,0,0,10.5,7.9,0,0,7.9,0
0,0,0,10.5,0,0,10.5,7.9,0
10.5,7.9,0,0,7.9,4,0,7.9,0
10.5,7.9,4,0,7.9,4,10.5,7.9,0
0,0,4,10.5,7.9,4,0,7.9,4
0,0,4,10.5,0,4,10.5,7.9,4
6.2,6.35,0.77,4.3,6.35,0,4.3,6.35,0.77
6.2,6.35,0,4.3,6.35,0,6.2,6.35,0.77
6.2,6.35,0,6.2,6.35,0.77,6.2,1.55,0.77
6.2,1.55,0,6.2,6.35,0,6.2,1.55,0.77
4.3,1.55,0,6.2,1.55,0,6.2,1.55,0.77
4.3,1.55,0,6.2,1.55,0.77,4.3,1.55,0.77
4.3,6.35,0,4.3,1.55,0,4.3,1.55,0.77
4.3,6.35,0,4.3,1.55,0.77,4.3,6.35,0.77
4.3,1.55,0,6.2,6.35,0,6.2,1.55,0
4.3,6.35,0,6.2,6.35,0,4.3,1.55,0
6.2,6.35,0.77,4.3,1.55,0.77,6.2,1.55,0.77
6.2,6.35,0.77,4.3,6.35,0.77,4.3,1.55,0.77
1.3,5.85,0.6,0.7,5.85,0,0.7,5.85,0.6
1.3,5.85,0,0.7,5.85,0,1.3,5.85,0.6
1.3,5.85,0,1.3,5.85,0.6,1.3,2.05,0.6
1.3,2.05,0,1.3,5.85,0,1.3,2.05,0.6
0.7,2.05,0,1.3,2.05,0,1.3,2.05,0.6
0.7,2.05,0,1.3,2.05,0.6,0.7,2.05,0.6
0.7,5.85,0,0.7,2.05,0,0.7,2.05,0.6
0.7,5.85,0,0.7,2.05,0.6,0.7,5.85,0.6
0.7,2.05,0,1.3,5.85,0,1.3,2.05,0
0.7,5.85,0,1.3,5.85,0,0.7,2.05,0
1.3,5.85,0.6,0.7,2.05,0.6,1.3,2.05,0.6
1.3,5.85,0.6,0.7,5.85,0.6,0.7,2.05,0.6
9.8,5.85,0.6,9.2,5.85,0,9.2,5.85,0.6
9.8,5.85,0,9.2,5.85,0,9.8,5.85,0.6
9.8,5.85,0,9.8,5.85,0.6,9.8,2.05,0.6
9.8,2.05,0,9.8,5.85,0,9.8,2.05,0.6
9.2,2.05,0,9.8,2.05,0,9.8,2.05,0.6
9.2,2.05,0,9.8,2.05,0.6,9.2,2.05,0.6
9.2,5.85,0,9.2,2.05,0,9.2,2.05,0.6
9.2,5.85,0,9.2,2.05,0.6,9.2,5.85,0.6
9.2,2.05,0,9.8,5.85,0,9.8,2.05,0
9.2,5.85,0,9.8,5.85,0,9.2,2.05,0
9.8,5.85,0.6,9.2,2.05,0.6,9.8,2.05,0.6
9.8,5.85,0.6,9.2,5.85,0.6,9.2,2.05,0.6
4.25,2.64,0.48,3.65,2.64,0,3.65,2.64,0.48
4.25,2.64,0,3.65,2.64,0,4.25,2.64,0.48
4.25,2.05,0,4.25,2.64,0,4.25,2.64,0.48
4.25,2.05,0,4.25,2.64,0.48,4.25,2.05,0.48
3.65,2.05,0.48,4.25,2.05,0,4.25,2.05,0.48
3.65,2.05,0,4.25,2.05,0,3.65,2.05,0.48
3.65,2.64,0.48,3.65,2.05,0,3.65,2.05,0.48
3.65,2.64,0,3.65,2.05,0,3.65,2.64,0.48
3.65,2.64,0,4.25,2.64,0,4.25,2.05,0
3.65,2.64,0,4.25,2.05,0,3.65,2.05,0
4.25,2.64,0.48,3.65,2.64,0.48,4.25,2.05,0.48
4.25,2.05,0.48,3.65,2.64,0.48,3.65,2.05,0.48
3.65,2.64,0.48,3.65,2.64,0.78,3.65,2.05,0.48
3.65,2.05,0.48,3.65,2.05,0.78,3.65,2.64,0.78
4.25,4.24,0.48,3.65,4.24,0,3.65,4.24,0.48
4.25,4.24,0,3.65,4.24,0,4.25,4.24,0.48
4.25,3.65,0,4.25,4.24,0,4.25,4.24,0.48
4.25,3.65,0,4.25,4.24,0.48,4.25,3.65,0.48
3.65,3.65,0.48,4.25,3.65,0,4.25,3.65,0.48
3.65,3.65,0,4.25,3.65,0,3.65,3.65,0.48
3.65,4.24,0.48,3.65,3.65,0,3.65,3.65,0.48
3.65,4.24,0,3.65,3.65,0,3.65,4.24,0.48
