6
1.45052e-08,2.27361e-08,4.74797e-08,2.80203e-08,3.09256e-08,1.9632e-08
-75.1114,-138.388,-140.249,-125.257,-146.572,-111.533
0,3.14159,3.14159,3.14159,3.14159,3.14159
89.6205,89.7579,89.8841,89.8035,89.822,47.6329
249.501,257.09,343.372,209.005,99.4537,249.501
90.3795,90.2421,90.1159,90.1965,90.178,47.6329
69.5008,282.91,16.6278,150.995,80.5463,69.5008
6
1.44031e-08,2.28142e-08,4.73146e-08,2.80743e-08,3.08684e-08,1.9515e-08
-70.6447,-138.283,-140.333,-125.522,-146.329,-111.515
0,3.14159,3.14159,3.14159,3.14159,3.14159
89.7847,89.8641,89.9345,89.8895,89.8995,47.5653
249.11,256.99,343.477,208.64,99.5773,249.11
90.2153,90.1359,90.0655,90.1105,90.1005,47.5653
69.1097,283.01,16.5229,151.36,80.4227,69.1097
6
1.42884e-08,2.28607e-08,4.71463e-08,2.81233e-08,3.08419e-08,1.94121e-08
-84.715,-138.155,-140.434,-125.803,-146.128,-111.554
0,3.14159,3.14159,3.14159,3.14159,3.14159
89.8257,89.8911,89.9472,89.9115,89.9193,47.3964
248.71,256.883,343.598,208.255,99.6836,248.71
90.1743,90.1089,90.0528,90.0885,90.0807,47.3964
68.7103,283.117,16.4024,151.745,80.3164,68.7103
6
1.41914e-08,2.28424e-08,4.70016e-08,2.81772e-08,3.08647e-08,1.92517e-08
-73.9713,-138.096,-140.503,-126.033,-146.111,-111.435
0,3.14159,3.14159,3.14159,3.14159,3.14159
89.8769,89.9235,89.9628,89.938,89.9434,47.4892
248.511,256.845,343.683,207.946,99.6968,248.511
90.1231,90.0765,90.0372,90.062,90.0566,47.4892
68.5109,283.155,16.3167,152.054,80.3032,68.5109
